VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,total_amount,buildingid_pickup,buildingid_dropoff,buildingtext_pickup,buildingtext_dropoff
CMT,2009-04-27 22:53:08 +00:00,2009-04-27 23:00:17 +00:00,2,1.3999999999999999,-73.978059999999999,40.746023000000001,-73.983035000000001,40.760364000000003,6.0999999999999996,0,6.0999999999999996,0,996685,,"POLYGON ((-73.9824943116576 40.7604688990929,-73.9825550995462 40.7603852163148,-73.9825730928483 40.7603927724709,-73.982711892634 40.7602016954932,-73.982720272915 40.7602052141216,-73.9827355070882 40.7601842436523,-73.982747743941 40.7601673979438,-73.9828638067884 40.7602161433743,-73.9829497258274 40.7602522276373,-73.9834904813665 40.7604793353252,-73.9831533644536 40.7609434299961,-73.983152055347 40.7609452317143,-73.9830911391086 40.7609196475596,-73.9826357833591 40.7607284072076,-73.982421138175 40.7606382593596,-73.9824210754143 40.7606382332353,-73.9824107187277 40.7606338831178,-73.982439832133 40.7605938051991,-73.9824120540633 40.7605821385264,-73.9824943116576 40.7604688990929))"
VTS,2009-04-14 19:46:00 +00:00,2009-04-14 20:02:00 +00:00,5,2.3799999999999999,-73.993892000000002,40.732010000000002,-73.981717000000003,40.760252999999999,10.1,2,13.1,0,0,,
VTS,2009-04-17 12:51:00 +00:00,2009-04-17 13:01:00 +00:00,5,1.6000000000000001,-73.989523000000005,40.77129,-73.981863000000004,40.758422000000003,7.2999999999999998,2,9.3000000000000007,0,0,,
VTS,2009-04-22 06:40:00 +00:00,2009-04-22 06:46:00 +00:00,5,0.95999999999999996,-73.973461999999998,40.751995000000001,-73.983284999999995,40.760112999999997,5.2999999999999998,1,6.2999999999999998,0,759274,,"POLYGON ((-73.9831467273014 40.7601163182441,-73.9833126124213 40.759889463841,-73.9833833380001 40.7599308432496,-73.983419010467 40.7599517139836,-73.9833899643402 40.7599914355633,-73.983432649683 40.7600094824205,-73.983299420738 40.7601916776011,-73.9831406924664 40.7601245695858,-73.9831467273014 40.7601163182441))"
CMT,2009-04-25 10:43:54 +00:00,2009-04-25 10:52:00 +00:00,1,1.5,-73.991765999999998,40.749814000000001,-73.984933999999996,40.760171999999997,6.5,0,6.5,1268565,0,"POLYGON ((-73.9916166315132 40.7498557752994,-73.9917535606404 40.7496682088832,-73.9918575239015 40.7497121042409,-73.9920047533248 40.7497742665785,-73.9920040048499 40.7497752922029,-73.9918678246868 40.7499618332904,-73.9918665103989 40.7499612784859,-73.9916166315132 40.7498557752994))",
CMT,2009-04-30 23:38:27 +00:00,2009-04-30 23:42:03 +00:00,1,0.69999999999999996,-73.973168999999999,40.763804,-73.981750000000005,40.758226999999998,4.0999999999999996,0,4.0999999999999996,0,0,,
VTS,2009-04-01 19:27:00 +00:00,2009-04-01 19:49:00 +00:00,1,2.7999999999999998,-74.000782999999998,40.725987000000003,-73.986001999999999,40.759372999999997,12.5,0,13.5,0,724771,,"POLYGON ((-73.9859945082174 40.7593779174906,-73.9859911605802 40.7593764978881,-73.9859186399217 40.7593457467145,-73.9858853791058 40.7593316434411,-73.9856007799256 40.7592109621929,-73.9856440693762 40.7591519350047,-73.9856531826231 40.7591395091739,-73.9856954674285 40.759081852409,-73.9857444250746 40.7590150968529,-73.9857755684738 40.7589726319953,-73.9857778038315 40.7589695840626,-73.9861865025152 40.7591428864145,-73.9861523492195 40.7591894564216,-73.9861820231869 40.7592020400365,-73.9861693479255 40.7592193237046,-73.9860517046017 40.7593797362456,-73.9860391548414 40.7593968488183,-73.9859945082174 40.7593779174906))"
CMT,2009-04-05 17:08:16 +00:00,2009-04-05 17:12:35 +00:00,1,0.59999999999999998,-73.972966,40.755932000000001,-73.982318000000006,40.760308000000002,4.0999999999999996,0,4.0999999999999996,0,0,,
VTS,2009-04-20 13:45:00 +00:00,2009-04-20 14:00:00 +00:00,1,4.0899999999999999,-74.010161999999994,40.720618000000002,-73.981826999999996,40.760159999999999,12.1,0,12.1,0,286501,,"POLYGON ((-73.9818320549436 40.7603733853893,-73.9818419569494 40.7603597551114,-73.981898723397 40.7602816092472,-73.9818236126387 40.7602500626487,-73.9817079531039 40.7602014864298,-73.9811630815333 40.7599726389214,-73.9810698174171 40.759933467889,-73.9812642119644 40.7596658669673,-73.9814060385276 40.7597254349202,-73.9817473708662 40.7598687958261,-73.9820344315851 40.7599893608962,-73.9821020850618 40.7598962268239,-73.9821075771368 40.7598985329691,-73.9823735595568 40.7600102446583,-73.9825746286913 40.7600946921574,-73.9825527446994 40.7601248188308,-73.9824137929731 40.7603161054134,-73.9822254234262 40.760236992385,-73.9821705908709 40.7603124768182,-73.9820575500913 40.7604680907814,-73.9818465560904 40.7603794759871,-73.9818320549436 40.7603733853893))"
VTS,2009-04-10 19:26:00 +00:00,2009-04-10 19:40:00 +00:00,2,2,-73.957947000000004,40.769233,-73.983069999999998,40.760502000000002,8.5,0,9.5,0,996685,,"POLYGON ((-73.9824943116576 40.7604688990929,-73.9825550995462 40.7603852163148,-73.9825730928483 40.7603927724709,-73.982711892634 40.7602016954932,-73.982720272915 40.7602052141216,-73.9827355070882 40.7601842436523,-73.982747743941 40.7601673979438,-73.9828638067884 40.7602161433743,-73.9829497258274 40.7602522276373,-73.9834904813665 40.7604793353252,-73.9831533644536 40.7609434299961,-73.983152055347 40.7609452317143,-73.9830911391086 40.7609196475596,-73.9826357833591 40.7607284072076,-73.982421138175 40.7606382593596,-73.9824210754143 40.7606382332353,-73.9824107187277 40.7606338831178,-73.982439832133 40.7605938051991,-73.9824120540633 40.7605821385264,-73.9824943116576 40.7604688990929))"
